4 6
1 12 325
1 13 316
1 13 371
1 13 414
1 13 527
1 14 92
1 14 981
1 14 957
1 14 874
1 15 863
1 15 171
1 15 997
1 15 282
2 1 306
2 1 926
2 1 85
2 1 328
2 2 337
2 2 506
2 2 847
2 2 730
2 3 314
2 3 858
2 3 125
2 3 896
2 4 583
2 4 546
2 4 815
2 4 368
2 5 435
2 5 365
2 5 44
2 5 751
2 6 88
2 6 809
2 6 277
2 6 179
2 7 789
2 7 585
2 7 404
2 7 652
2 8 755
2 8 400
2 8 933
2 8 61
2 9 677
2 9 369
2 9 740
2 9 13
2 10 227
2 10 587
2 10 95
2 10 540
2 11 796
2 11 571
2 11 435
2 11 379
2 12 468
2 12 602
2 12 98
2 12 903
2 13 318
2 13 493
2 13 653
2 13 757
2 14 302
2 14 281
2 14 287
2 14 442
2 15 866
2 15 690
2 15 445
2 15 620
3 1 441
3 1 730
3 1 32
3 1 118
3 2 98
3 2 772
3 2 482
3 2 676
3 3 710
3 3 928
3 3 568
3 3 857
3 4 498
3 4 354
3 4 587
3 4 966
3 5 307
3 5 684
3 5 220
3 5 625
3 6 529
3 6 872
3 6 733
3 6 830
3 7 504
3 7 20
3 7 271
3 7 369
3 8 709
3 8 716
3 8 341
3 8 150
3 9 797
3 9 724
3 9 619
3 9 246
3 10 847
3 10 452
3 10 922
3 10 556
3 11 380
3 11 489
3 11 765
3 11 229
3 12 842
3 12 351
3 12 194
3 12 501
3 13 35
3 13 765
3 13 125
3 13 915
3 14 988
3 14 857
3 14 744
3 14 492
3 15 228
3 15 366
3 15 860
3 15 937
4 1 433
4 1 552
4 1 438
4 1 229
4 2 276
4 2 408
4 2 475
4 2 122
4 3 859
4 3 396
4 3 30
4 3 238
4 4 236
4 4 794
4 4 819
4 4 429
4 5 144
4 5 12
4 5 929
4 5 530
4 6 777
4 6 405
4 6 444
4 6 764
4 7 614
4 7 539
4 7 607
4 7 841
4 8 905
4 8 819
4 8 129
4 8 689
4 9 370
4 9 918
4 9 918
4 9 997
4 10 325
4 10 744
4 10 471
4 10 184
4 11 491
4 11 500
4 11 773
4 11 726
4 12 645
4 12 591
4 12 506
4 12 140
4 13 955
4 13 787
4 13 670
4 13 83
4 14 543
4 14 465
4 14 198
4 14 508
4 15 356
4 15 805
4 15 349
4 15 612
5 1 623
5 1 829
5 1 300
5 1 344
5 2 747
5 2 569
5 2 341
5 2 423
5 3 312
5 3 811
5 3 606
5 3 802
5 4 662
5 4 731
5 4 879
5 4 306
5 5 321
5 5 737
5 5 445
5 5 627
5 6 523
5 6 466
5 6 709
5 6 417
5 7 283
5 7 259
5 7 925
5 7 638
5 8 63
5 8 625
5 8 601
5 8 37
5 9 453
5 9 900
5 9 380
5 9 551
5 10 469
5 10 72
5 10 974
5 10 132
5 11 882
5 11 931
5 11 934
5 11 895
5 12 661
5 12 164
5 12 200
5 12 982
5 13 900
5 13 997
5 13 960
5 13 774
5 14 814
5 14 669
5 14 191
5 14 96
5 15 927
5 15 467
5 15 85
5 15 341
6 1 91
6 1 685
6 1 377
6 1 543
6 2 937
6 2 108
6 2 446
6 2 757
6 3 180
6 3 419
6 3 888
6 3 413
6 4 349
6 4 173
6 4 660
6 4 10
6 5 337
6 5 211
6 5 343
6 5 588
6 6 207
6 6 302
6 6 714
6 6 373
6 7 322
6 7 256
6 7 820
6 7 600
6 8 722
6 8 905
6 8 940
6 8 812
6 9 941
6 9 668
6 9 706
6 9 229
6 10 128
6 10 151
6 10 985
6 10 659
6 11 921
6 11 225
6 11 423
6 11 270
6 12 397
6 12 82
6 12 631
6 12 85
6 13 293
6 13 973
6 13 673
6 13 851
6 14 626
6 14 386
6 14 223
6 14 300
6 15 641
6 15 43
6 15 899
6 15 714
7 1 299
7 1 191
7 1 525
7 1 591
7 2 210
7 2 582
7 2 820
7 2 337
7 3 733
7 3 156
7 3 995
7 3 5
7 4 380
7 4 770
7 4 274
7 4 777
7 5 851
7 5 256
7 5 861
7 5 143
7 6 580
7 6 885
7 6 994
7 6 206
7 7 622
7 7 568
7 7 505
7 7 614
7 8 962
7 8 755
7 8 327
7 8 260
7 9 945
7 9 203
7 9 203
7 9 507
7 10 785
7 10 22
7 10 843
7 10 869
7 11 529
7 11 190
7 11 873
7 11 909
7 12 959
7 12 499
7 12 37
7 12 809
7 13 754
7 13 249
7 13 304
7 13 334
7 14 134
7 14 649
7 14 891
7 14 755
7 15 568
7 15 747
7 15 369
7 15 530
8 1 501
8 1 47
8 1 789
8 1 798
8 2 250
8 2 991
8 2 304
8 2 34
8 3 364
8 3 498
8 3 254
8 3 893
8 4 687
8 4 126
8 4 153
8 4 997
8 5 976
8 5 189
8 5 158
8 5 730
8 6 437
8 6 461
8 6 415
8 6 922
8 7 461
8 7 305
8 7 29
8 7 28
8 8 51
8 8 749
8 8 557
8 8 903
8 9 795
8 9 698
8 9 700
8 9 44
8 10 40
8 10 3
8 10 429
8 10 404
8 11 501
8 11 682
8 11 648
8 11 539
8 12 160
8 12 152
8 12 536
8 12 135
8 13 340
8 13 693
8 13 216
8 13 128
8 14 505
8 14 630
8 14 50
8 14 965
8 15 286
8 15 430
8 15 344
8 15 336
9 1 178
9 1 901
9 1 239
9 1 972
9 2 950
9 2 290
9 2 368
9 2 989
9 3 293
9 3 796
9 3 744
9 3 145
9 4 830
9 4 391
9 4 683
9 4 341
9 5 542
9 5 570
9 5 827
9 5 233
9 6 262
9 6 43
9 6 361
9 6 118
9 7 24
9 7 762
9 7 82
9 7 310
9 8 191
9 8 426
9 8 997
9 8 368
9 9 678
9 9 235
9 9 691
9 9 627
9 10 525
9 10 58
9 10 615
9 10 169
9 11 206
9 11 359
9 11 313
9 11 387
9 12 101
9 12 347
9 12 727
9 12 995
9 13 917
9 13 553
9 13 579
9 13 530
9 14 947
9 14 291
9 14 648
9 14 971
9 15 52
9 15 81
9 15 632
9 15 594
10 1 858
10 1 628
10 1 313
10 1 887
10 2 215
10 2 356
10 2 513
10 2 91
10 3 413
10 3 480
10 3 611
10 3 970
10 4 190
10 4 275
10 4 356
10 4 642
10 5 621
10 5 434
10 5 988
10 5 889
10 6 339
10 6 567
10 6 771
10 6 285
10 7 857
10 7 418
10 7 607
10 7 261
10 8 850
10 8 238
10 8 206
10 8 60
10 9 218
10 9 519
10 9 946
10 9 784
10 10 874
10 10 459
10 10 874
10 10 638
10 11 290
10 11 484
10 11 608
10 11 479
10 12 758
10 12 315
10 12 472
10 12 730
10 13 101
10 13 460
10 13 619
10 13 439
10 14 26
10 14 389
10 14 75
10 14 234
10 15 158
10 15 682
10 15 494
10 15 359
11 1 271
11 1 700
11 1 418
11 1 840
11 2 570
11 2 364
11 2 623
11 2 795
11 3 174
11 3 848
11 3 432
11 3 463
11 4 683
11 4 391
11 4 293
11 4 792
11 5 58
11 5 116
11 5 522
11 5 158
11 6 575
11 6 492
11 6 948
11 6 952
11 7 232
11 7 22
11 7 538
11 7 741
11 8 55
11 8 31
11 8 99
11 8 326
11 9 82
11 9 517
11 9 517
11 9 3
11 10 232
11 10 140
11 10 797
11 10 405
11 11 339
11 11 581
11 11 219
11 11 22
11 12 971
11 12 863
11 12 813
11 12 380
11 13 978
11 13 686
11 13 537
11 13 905
11 14 177
11 14 484
11 14 208
11 14 760
11 15 858
11 15 745
11 15 500
11 15 912
12 1 128
12 1 951
12 1 237
12 1 561
12 2 819
12 2 106
12 2 564
12 2 50
12 3 245
12 3 712
12 3 806
12 3 935
12 4 292
12 4 376
12 4 956
12 4 615
12 5 590
12 5 769
12 5 994
12 5 919
12 6 806
12 6 883
12 6 823
12 6 983
12 7 718
12 7 31
12 7 94
12 7 575
12 8 127
12 8 594
12 8 487
12 8 254
12 9 544
12 9 75
12 9 815
12 9 714
12 10 180
12 10 378
12 10 763
12 10 776
12 11 89
12 11 920
12 11 711
12 11 733
12 12 295
12 12 18
12 12 347
12 12 236
12 13 138
12 13 692
12 13 154
12 13 944
12 14 574
12 14 329
12 14 926
12 14 292
12 15 711
12 15 19
12 15 218
12 15 837
13 1 964
13 1 56
13 1 91
13 1 859
13 2 131
13 2 905
13 2 572
13 2 662
13 3 634
13 3 686
13 3 790
13 3 74
13 4 605
13 4 852
13 4 806
13 4 251
13 5 869
13 5 504
13 5 486
13 5 7
13 6 196
13 6 640
13 6 950
13 6 121
13 7 968
13 7 227
13 7 764
13 7 678
13 8 597
13 8 982
13 8 866
13 8 561
13 9 37
13 9 956
13 9 771
13 9 519
13 10 212
13 10 343
13 10 533
13 10 197
13 11 380
13 11 322
13 11 271
13 11 985
13 12 173
13 12 428
13 12 235
13 12 41
13 13 284
13 13 73
13 13 399
13 13 831
13 14 64
13 14 348
13 14 951
13 14 31
13 15 574
13 15 715
13 15 60
13 15 523
14 1 48
14 1 925
14 1 83
14 1 436
14 2 233
14 2 205
14 2 955
14 2 444
14 3 899
14 3 487
14 3 641
14 3 279
14 4 160
14 4 263
14 4 263
14 4 684
14 5 42
14 5 849
14 5 724
14 5 325
14 6 273
14 6 123
14 6 155
14 6 336
14 7 822
14 7 458
14 7 366
14 7 748
14 8 172
14 8 777
14 8 270
14 8 219
14 9 702
14 9 704
14 9 654
14 9 934
14 10 908
14 10 960
14 10 729
14 10 807
14 11 798
14 11 721
14 11 85
14 11 309
14 12 335
14 12 699
14 12 992
14 12 377
14 13 899
14 13 716
14 13 53
14 13 172
14 14 190
14 14 560
14 14 507
14 14 11
14 15 17
14 15 225
14 15 110
14 15 540
15 1 1
15 1 379
15 1 110
15 1 54
15 2 82
15 2 115
15 2 339
15 2 990
15 3 427
15 3 68
15 3 148
15 3 224
15 4 788
15 4 232
15 4 533
15 4 123
15 5 282
15 5 876
15 5 851
15 5 180
15 6 591
15 6 255
15 6 351
15 6 132
15 7 814
15 7 858
15 7 495
15 7 182
15 8 82
15 8 604
15 8 721
15 8 434
15 9 983
15 9 182
15 9 488
15 9 416
15 10 297
15 10 826
15 10 405
15 10 723
15 11 893
15 11 552
15 11 298
15 11 33
15 12 135
15 12 182
15 12 507
15 12 416
15 13 58
15 13 709
15 13 596
15 13 1000
15 14 963
15 14 298
15 14 484
15 14 777
15 15 155
15 15 978
15 15 310
15 15 588
7 1 933
7 2 383
7 3 22
7 4 267
7 5 564
7 6 861
7 7 683
7 8 212
7 9 686
7 10 87
7 11 286
7 12 931
7 13 991
7 14 584
7 15 315
0
